Account,date,n_trades,n_closing_trades,gross_pnl,wins,total_fees,avg_trade_size_usd,total_volume_usd,long_trades,short_trades,net_pnl,win_rate,long_short_ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,0,0.0,0,167.796055,5089.718248587571,900880.13,0,177,-167.796055,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,0,0.0,0,67.883615,7976.664411764705,542413.1799999999,0,68,-67.883615,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,0,0.0,0,94.93798300000002,23734.5,949380.0,0,40,-94.93798300000002,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,12,-21227.0,0,33.823995,28186.666666666668,338240.0,12,0,-21260.823995,0.0,inf
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,12,1603.1,12,104.62249,17248.14814814815,465700.0,12,15,1498.47751,1.0,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,82,-132271.0,0,131.679967,16058.536341463414,1316799.98,82,0,-132402.679967,0.0,inf
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,0,0.0,0,390.921553,48561.68565217392,1116918.77,0,23,-390.921553,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,33,-175611.00005600002,0,121.229992,36736.36242424243,1212299.96,33,0,-175732.23004800003,0.0,inf
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,112,71393.964098,23,780.33644,11410.954021505377,5306093.62,112,353,70613.627658,0.20535714285714285,0.31728045325779036
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,28,40218.599998,28,23.971493,9400.588039215687,479429.99,28,23,40194.628505,1.0,1.2173913043478262
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,9,76710.0,9,92.923496,185847.0,1858470.0,9,1,76617.076504,1.0,9.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,371,101011.685664,256,2355.038296,23593.019856972587,19794543.66,350,489,98656.647368,0.6900269541778976,0.7157464212678937
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,111,375620.270243,83,704.19937,10576.687156308852,5616220.88,111,420,374916.070873,0.7477477477477478,0.2642857142857143
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,78,44400.9058,78,700.101577,26585.06338095238,5582863.31,78,132,43700.804223,1.0,0.5909090909090909
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,132,30897.0887,132,0.0,10161.056241134751,1432708.93,132,9,30897.0887,1.0,14.666666666666666
