date,n_active_traders,n_trades,total_net_pnl,mean_net_pnl,median_net_pnl,mean_win_rate,total_volume_usd,avg_trade_size_usd,total_long_trades,total_short_trades,long_short_ratio,fg_value,fg_class,sentiment_binary
2023-05-01,1,3,0.0,0.0,0.0,,477.0,159.0,3,0,,63,Greed,Greed
2023-12-05,1,9,-12.501455,-12.501455,-12.501455,,50005.83,5556.203333333334,7,2,3.5,75,Extreme Greed,Greed
2023-12-14,1,11,-233.73556800000006,-233.73556800000006,-233.73556800000006,0.6666666666666666,113203.35,10291.213636363636,5,6,0.8333333333333334,72,Greed,Greed
2023-12-15,1,2,-27.284522999999997,-27.284522999999997,-27.284522999999997,0.0,10609.95,5304.975,2,0,,70,Greed,Greed
2023-12-16,1,3,-3.8371890000000004,-3.8371890000000004,-3.8371890000000004,,15348.77,5116.256666666667,3,0,,67,Greed,Greed
2023-12-17,1,14,275.91328599999997,275.91328599999997,275.91328599999997,0.6363636363636364,116278.02,8305.572857142857,3,11,0.2727272727272727,73,Greed,Greed
2023-12-18,1,2,-7.791045,-7.791045,-7.791045,,31164.179999999997,15582.089999999998,2,0,,65,Greed,Greed
2023-12-19,1,15,977.6380160000001,977.6380160000001,977.6380160000001,1.0,91602.41,6106.827333333334,5,10,0.5,73,Greed,Greed
2023-12-20,1,18,127.323095,127.323095,127.323095,1.0,141636.79,7868.710555555556,10,8,1.25,74,Greed,Greed
2023-12-21,1,49,505.902933,505.902933,505.902933,0.9629629629629629,125233.97,2555.795306122449,22,27,0.8148148148148148,70,Greed,Greed
2023-12-22,1,10,119.61410899999998,119.61410899999998,119.61410899999998,1.0,88874.28,8887.428,8,2,4.0,74,Greed,Greed
2023-12-23,1,13,127.32714899999999,127.32714899999999,127.32714899999999,1.0,78438.25,6033.711538461538,5,8,0.625,70,Greed,Greed
2023-12-24,1,39,907.881241,907.881241,907.881241,0.8823529411764706,402954.94,10332.177948717948,21,18,1.1666666666666667,71,Greed,Greed
